Product,Category,Buyer intent,Problem fit,Proof/testability,Content angle,Competition,Commission fit,Total,Decision,Notes
Compact air fryer,Kitchen,5,5,4,5,3,4,26,Prioritize,"Strong buyer intent for small kitchens; needs size/cleaning angle"
Small rice cooker,Kitchen,5,4,5,4,3,4,25,Prioritize,"Good for one-person/two-person apartment use cases"
Mini food processor,Kitchen,4,4,4,4,3,4,23,Backlog,"Useful for small prep; needs comparison vs blender"
Compact toaster oven,Kitchen,5,4,3,5,2,4,23,Backlog,"Competitive SERP; strong comparison content potential"
Small coffee maker,Coffee gear,5,5,4,5,3,4,26,Prioritize,"Clear apartment/small counter angle"
Milk frother,Coffee gear,4,4,5,4,3,4,24,Backlog,"Easy to test; lower ticket but good supporting content"
Compact coffee grinder,Coffee gear,4,4,4,4,3,4,23,Backlog,"Good for coffee setup pillar"
Under sink organizer,Home organization,4,5,5,4,3,3,24,Backlog,"Excellent visual/before-after potential"
Spice rack for small cabinets,Kitchen organization,4,5,5,4,3,3,24,Backlog,"Good long-tail organization topic"
Pot lid organizer,Kitchen organization,4,4,5,4,3,3,23,Backlog,"Practical small kitchen problem"
Dish drying rack for small kitchen,Kitchen organization,5,5,5,4,3,3,25,Prioritize,"Strong small-space fit and visual proof"
Drawer organizer,Kitchen organization,4,4,5,3,3,3,22,Backlog,"Broad, needs specific use case"
Pantry bins,Kitchen organization,4,4,4,3,3,3,21,Backlog,"Better as supporting article"
Electric scrubber,Cleaning tools,4,4,4,4,3,3,22,Backlog,"Video demo potential"
Sink caddy,Cleaning tools,4,4,5,3,3,3,22,Backlog,"Low ticket but good for organization hub"
Microfiber cleaning cloths,Cleaning tools,3,3,5,3,3,3,20,Supporting,"Low differentiation; use in cleaning guide"
Compact blender,Kitchen,5,4,4,4,2,4,23,Backlog,"Competitive; target smoothie/small apartment modifier"
Cutting board for small kitchens,Kitchen,3,4,5,3,3,4,22,Backlog,"Needs specific angle: foldable/thin/over-sink"
Over-sink cutting board,Kitchen,4,5,4,4,3,4,24,Backlog,"Strong space-saving angle"
Apartment kitchen starter set,Kitchen,4,5,3,5,3,4,24,Backlog,"Better as hub/list article"
Immersion blender,Kitchen,4,4,4,4,3,4,23,Backlog,"Useful compact alternative to blender"
Compact dish rack over sink,Kitchen organization,5,5,4,4,3,3,24,Backlog,"Good for visual comparison"
Cabinet shelf riser,Kitchen organization,4,5,5,4,3,3,24,Backlog,"Easy before/after proof"
Measuring cup set for small drawers,Kitchen,3,3,5,3,3,4,21,Supporting,"Low buyer intent as standalone"
Collapsible colander,Kitchen,4,4,5,4,3,4,24,Backlog,"Space-saving angle, good supporting product"
Magnetic spice jars,Kitchen organization,4,4,4,4,3,3,22,Backlog,"Visual, but quality varies"
Compact compost bin,Home/Kitchen,4,4,4,4,3,3,22,Backlog,"Apartment odor/space angle"
Slim trash can for kitchen,Home,4,5,4,3,3,3,22,Backlog,"Home category, useful small-space guide"
Countertop dishwasher,Kitchen,5,5,2,5,2,4,23,Backlog,"High buyer intent but more expensive and harder to test"
Portable induction cooktop,Kitchen,5,4,3,5,3,4,24,Backlog,"Good dorm/apartment angle; safety content needed"
